stream_id,gesture_order,gesture,start_sample,end_sample
0,0,please_16.csv,78,342
0,1,i-love-you_23.csv,382,608
0,2,good-afternoon_11.csv,648,871
1,0,good-afternoon_3.csv,22,266
1,1,good-morning_6.csv,278,511
1,2,i-love-you_23.csv,523,749
1,3,excuse-me_15.csv,761,939
2,0,hello_4.csv,48,318
2,1,please_8.csv,343,609
2,2,good-afternoon_2.csv,634,889
3,0,thank-you_15.csv,84,265
3,1,good-morning_18.csv,308,590
3,2,thank-you_24.csv,633,781
3,3,good-afternoon_22.csv,824,1088
4,0,good-afternoon_5.csv,30,261
4,1,good-afternoon_21.csv,277,537
4,2,i-love-you_21.csv,553,833
5,0,good-morning_3.csv,66,280
5,1,i-love-you_12.csv,314,633
5,2,thank-you_5.csv,667,909
6,0,thank-you_27.csv,20,166
6,1,i-am-fine_27.csv,177,358
6,2,please_2.csv,369,608
7,0,hello_8.csv,70,308
7,1,excuse-me_3.csv,344,562
7,2,i-love-you_23.csv,598,824
8,0,please_29.csv,78,282
8,1,hello_1.csv,322,552
8,2,good-morning_14.csv,592,904
9,0,hello_23.csv,48,183
9,1,i-love-you_4.csv,208,522
9,2,good-afternoon_8.csv,547,756
10,0,thank-you_22.csv,26,198
10,1,please_21.csv,212,496
10,2,please_37.csv,510,704
10,3,i-am-fine_7.csv,718,978
11,0,hello_2.csv,58,287
11,1,please_35.csv,317,504
11,2,i-love-you_6.csv,534,831
12,0,i-love-you_14.csv,72,392
12,1,i-am-fine_17.csv,429,559
12,2,good-morning_2.csv,596,822
13,0,i-am-fine_21.csv,26,181
13,1,excuse-me_12.csv,195,385
13,2,i-love-you_29.csv,399,622
14,0,thank-you_4.csv,72,301
14,1,please_13.csv,338,605
14,2,i-am-fine_1.csv,642,866
15,0,good-morning_17.csv,22,333
15,1,please_28.csv,345,540
15,2,i-am-fine_19.csv,552,714
16,0,hello_24.csv,24,204
16,1,please_6.csv,217,471
16,2,thank-you_9.csv,484,645
16,3,thank-you_5.csv,658,900
17,0,please_9.csv,22,275
17,1,i-love-you_23.csv,287,513
17,2,good-morning_30.csv,525,685
17,3,good-morning_22.csv,697,981
18,0,good-afternoon_10.csv,72,299
18,1,i-am-fine_18.csv,336,516
18,2,good-morning_13.csv,553,849
18,3,hello_3.csv,886,1147
19,0,please_8.csv,76,342
19,1,please_23.csv,381,560
19,2,please_1.csv,599,844
20,0,thank-you_6.csv,30,260
20,1,thank-you_6.csv,276,506
20,2,good-afternoon_11.csv,522,745
21,0,good-morning_5.csv,22,277
21,1,good-morning_1.csv,289,527
21,2,i-am-fine_18.csv,539,719
22,0,i-love-you_13.csv,40,358
22,1,please_25.csv,379,587
22,2,please_2.csv,608,847
22,3,excuse-me_6.csv,868,1085
23,0,i-am-fine_19.csv,72,234
23,1,hello_17.csv,271,424
23,2,hello_30.csv,461,629
24,0,good-afternoon_20.csv,50,303
24,1,good-afternoon_10.csv,329,556
24,2,excuse-me_13.csv,582,776
25,0,i-love-you_11.csv,76,367
25,1,good-morning_15.csv,406,681
25,2,hello_25.csv,720,878
25,3,good-afternoon_18.csv,917,1187
26,0,i-love-you_12.csv,68,387
26,1,i-am-fine_14.csv,422,588
26,2,excuse-me_14.csv,623,766
26,3,good-morning_1.csv,801,1039
27,0,hello_2.csv,52,281
27,1,good-morning_16.csv,308,605
27,2,excuse-me_4.csv,632,833
28,0,thank-you_2.csv,74,286
28,1,excuse-me_16.csv,324,479
28,2,hello_13.csv,517,683
29,0,please_17.csv,60,331
29,1,please_33.csv,362,543
29,2,good-morning_17.csv,574,885
29,3,thank-you_1.csv,916,1155
30,0,good-morning_15.csv,30,305
30,1,hello_10.csv,321,541
30,2,good-afternoon_9.csv,557,754
30,3,i-love-you_6.csv,770,1067
31,0,thank-you_17.csv,20,162
31,1,please_28.csv,173,368
31,2,please_39.csv,379,567
32,0,please_23.csv,68,247
32,1,please_10.csv,282,518
32,2,hello_22.csv,553,712
33,0,i-love-you_25.csv,30,255
33,1,thank-you_7.csv,271,518
33,2,thank-you_5.csv,534,776
33,3,good-afternoon_11.csv,792,1015
34,0,good-afternoon_21.csv,48,308
34,1,please_39.csv,333,521
34,2,hello_12.csv,546,775
35,0,thank-you_19.csv,28,174
35,1,please_25.csv,189,397
35,2,please_25.csv,412,620
36,0,thank-you_15.csv,70,251
36,1,hello_11.csv,287,505
36,2,thank-you_10.csv,541,792
37,0,i-am-fine_28.csv,28,204
37,1,good-afternoon_1.csv,219,441
37,2,good-morning_15.csv,456,731
38,0,good-morning_12.csv,24,289
38,1,i-love-you_2.csv,302,560
38,2,please_32.csv,573,752
38,3,i-am-fine_11.csv,765,976
39,0,i-am-fine_20.csv,28,212
39,1,please_27.csv,227,380
39,2,good-morning_22.csv,395,679
40,0,thank-you_18.csv,44,193
40,1,i-love-you_23.csv,216,442
40,2,good-afternoon_12.csv,465,708
41,0,good-morning_11.csv,72,279
41,1,hello_28.csv,316,482
41,2,good-afternoon_12.csv,519,762
41,3,good-morning_3.csv,799,1013
42,0,i-am-fine_19.csv,50,212
42,1,i-am-fine_6.csv,238,492
42,2,i-love-you_10.csv,518,826
42,3,please_17.csv,852,1123
43,0,i-am-fine_5.csv,58,289
