stream_id,stream_length,first_window_id,last_window_id
0,911,0,34
1,951,35,71
2,911,72,106
3,1104,107,151
4,844,152,183
5,943,184,220
6,645,221,242
7,864,243,275
8,938,276,311
9,782,312,339
10,1018,340,379
11,868,380,412
12,862,413,444
13,635,445,465
14,897,466,499
15,751,500,526
16,936,527,562
17,1007,563,602
18,1163,603,650
19,883,651,684
20,773,685,712
21,748,713,739
22,1099,740,783
23,667,784,806
24,792,807,835
25,1201,836,884
26,1053,885,926
27,855,927,958
28,725,959,984
29,1171,985,1032
30,1098,1033,1076
31,596,1077,1095
32,752,1096,1122
33,1027,1123,1163
34,804,1164,1193
35,663,1194,1216
36,832,1217,1247
37,742,1248,1273
38,1003,1274,1313
39,705,1314,1338
40,724,1339,1364
41,1035,1365,1405
42,1134,1406,1451
43,910,1452,1486
44,1079,1487,1529
45,979,1530,1567
46,912,1568,1602
47,1110,1603,1647
48,706,1648,1672
49,629,1673,1693
50,879,1694,1726
51,941,1727,1762
52,1067,1763,1805
53,956,1806,1842
54,914,1843,1877
55,931,1878,1913
56,797,1914,1942
57,1137,1943,1988
58,942,1989,2024
59,1114,2025,2069
60,1052,2070,2111
61,814,2112,2141
62,1110,2142,2186
63,645,2187,2208
64,760,2209,2235
65,972,2236,2273
66,1008,2274,2313
67,819,2314,2343
68,779,2344,2371
69,1017,2372,2411
70,749,2412,2438
71,951,2439,2475
72,1003,2476,2515
73,625,2516,2536
74,978,2537,2574
75,998,2575,2613
76,789,2614,2642
77,777,2643,2670
78,828,2671,2701
79,866,2702,2734
80,973,2735,2772
81,1010,2773,2812
82,831,2813,2843
83,939,2844,2879
84,1103,2880,2924
85,722,2925,2949
86,1133,2950,2995
87,1178,2996,3043
88,710,3044,3068
89,1110,3069,3113
90,1010,3114,3153
91,851,3154,3185
92,909,3186,3220
93,1082,3221,3263
94,1157,3264,3310
95,950,3311,3347
96,1268,3348,3400
97,1034,3401,3441
98,1023,3442,3482
99,1050,3483,3524
