window_id,has_start,start_idx,start_norm,has_end,end_idx,end_norm
0,1,78,0.35135135135135137,0,-1,-1.0
1,1,58,0.26126126126126126,0,-1,-1.0
2,1,38,0.17117117117117117,0,-1,-1.0
3,1,18,0.08108108108108109,0,-1,-1.0
4,0,-1,-1.0,0,-1,-1.0
5,0,-1,-1.0,0,-1,-1.0
6,0,-1,-1.0,1,222,1.0
7,0,-1,-1.0,1,202,0.9099099099099099
8,1,222,1.0,1,182,0.8198198198198198
9,1,202,0.9099099099099099,1,162,0.7297297297297297
10,1,182,0.8198198198198198,1,142,0.6396396396396397
11,1,162,0.7297297297297297,1,122,0.5495495495495496
12,1,142,0.6396396396396397,1,102,0.4594594594594595
13,1,122,0.5495495495495496,1,82,0.36936936936936937
14,1,102,0.4594594594594595,1,62,0.27927927927927926
15,1,82,0.36936936936936937,1,42,0.1891891891891892
16,1,62,0.27927927927927926,1,22,0.0990990990990991
17,1,42,0.1891891891891892,1,2,0.009009009009009009
18,1,22,0.0990990990990991,0,-1,-1.0
19,1,2,0.009009009009009009,0,-1,-1.0
20,0,-1,-1.0,1,208,0.9369369369369369
21,0,-1,-1.0,1,188,0.8468468468468469
22,1,208,0.9369369369369369,1,168,0.7567567567567568
23,1,188,0.8468468468468469,1,148,0.6666666666666666
24,1,168,0.7567567567567568,1,128,0.5765765765765766
25,1,148,0.6666666666666666,1,108,0.4864864864864865
26,1,128,0.5765765765765766,1,88,0.3963963963963964
27,1,108,0.4864864864864865,1,68,0.3063063063063063
28,1,88,0.3963963963963964,1,48,0.21621621621621623
29,1,68,0.3063063063063063,1,28,0.12612612612612611
30,1,48,0.21621621621621623,1,8,0.036036036036036036
31,1,28,0.12612612612612611,0,-1,-1.0
32,1,8,0.036036036036036036,0,-1,-1.0
33,0,-1,-1.0,1,211,0.9504504504504504
34,0,-1,-1.0,1,191,0.8603603603603603
35,1,22,0.0990990990990991,0,-1,-1.0
36,1,2,0.009009009009009009,0,-1,-1.0
37,0,-1,-1.0,0,-1,-1.0
38,1,218,0.9819819819819819,1,206,0.9279279279279279
39,1,198,0.8918918918918919,1,186,0.8378378378378378
40,1,178,0.8018018018018018,1,166,0.7477477477477478
41,1,158,0.7117117117117117,1,146,0.6576576576576577
42,1,138,0.6216216216216216,1,126,0.5675675675675675
43,1,118,0.5315315315315315,1,106,0.4774774774774775
44,1,98,0.44144144144144143,1,86,0.38738738738738737
45,1,78,0.35135135135135137,1,66,0.2972972972972973
46,1,58,0.26126126126126126,1,46,0.2072072072072072
47,1,38,0.17117117117117117,1,26,0.11711711711711711
48,1,18,0.08108108108108109,1,6,0.02702702702702703
49,0,-1,-1.0,0,-1,-1.0
50,0,-1,-1.0,1,211,0.9504504504504504
51,1,203,0.9144144144144144,1,191,0.8603603603603603
52,1,183,0.8243243243243243,1,171,0.7702702702702703
53,1,163,0.7342342342342343,1,151,0.6801801801801802
